Th,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18
773,[3374.77719223],[3295.24727525],[3405.12261141],[3291.92624127],[3434.31851355],[3242.72352254],[3462.41753135],[2184.74575961],[125.72676978],[128.8642412],[962.23974023],[965.98035006],[1154.76400552],[1162.79967858],[1407.95635913],[1292.9116605],[1292.9116605],[962.23974023],[962.23974023]
783,[3400.50137891],[3319.55874229],[3429.57257321],[3314.52015421],[3457.62155345],[3263.10846538],[3484.68864479],[2196.3616813],[125.72676978],[128.8642412],[962.23974023],[965.98035006],[1154.76400552],[1162.79967858],[1407.95635913],[1292.9116605],[1292.9116605],[962.23974023],[962.23974023]
793,[3426.02446232],[3343.68465474],[3453.91120018],[3337.017069],[3480.88657599],[3283.46868803],[3506.981123],[2207.80238905],[125.72676978],[128.8642412],[962.23974023],[965.98035006],[1154.76400552],[1162.79967858],[1407.95635913],[1292.9116605],[1292.9116605],[962.23974023],[962.23974023]
803,[3451.37144146],[3367.64869578],[3478.15405637],[3359.4314155],[3504.12220856],[3303.81180823],[3529.29862074],[2219.08108279],[125.72676978],[128.8642412],[962.23974023],[965.98035006],[1154.76400552],[1162.79967858],[1407.95635913],[1292.9116605],[1292.9116605],[962.23974023],[962.23974023]
813,[3476.5642585],[3391.47164344],[3502.31495641],[3381.77599397],[3527.33619754],[3324.14465962],[3551.64446269],[2230.20944904],[125.72676978],[128.8642412],[962.23974023],[965.98035006],[1154.76400552],[1162.79967858],[1407.95635913],[1292.9116605],[1292.9116605],[962.23974023],[962.23974023]
823,[3501.62226508],[3415.17181475],[3526.40621079],[3404.06220431],[3550.53552012],[3344.47339199],[3574.02167974],[2241.19788795],[125.72676978],[128.8642412],[962.23974023],[965.98035006],[1154.76400552],[1162.79967858],[1407.95635913],[1292.9116605],[1292.9116605],[962.23974023],[962.23974023]
833,[3526.56260407],[3438.76552085],[3550.43882988],[3426.3002367],[3573.72647886],[3364.80355601],[3596.43304024],[2252.05569926],[125.72676978],[128.8642412],[962.23974023],[965.98035006],[1154.76400552],[1162.79967858],[1407.95635913],[1292.9116605],[1292.9116605],[962.23974023],[962.23974023]
843,[3551.40052407],[3462.26705572],[3574.42269475],[3448.49924807],[3596.91478205],[3385.14017516],[3618.88107699],[2262.79123577],[125.72676978],[128.8642412],[962.23974023],[965.98035006],[1154.76400552],[1162.79967858],[1407.95635913],[1292.9116605],[1292.9116605],[962.23974023],[962.23974023]
853,[3576.14964042],[3485.68930928],[3598.3667009],[3470.66744019],[3620.10561239],[3405.48780706],[3641.36811064],[2273.41203076],[125.72676978],[128.8642412],[962.23974023],[965.98035006],[1154.76400552],[1162.79967858],[1407.95635913],[1292.9116605],[1292.9116605],[962.23974023],[962.23974023]
863,[3600.82215301],[3509.04382184],[3622.27887994],[3492.81223661],[3643.30368591],[3425.85059605],[3663.89627015],[2283.92490455],[125.72676978],[128.8642412],[962.23974023],[965.98035006],[1154.76400552],[1162.79967858],[1407.95635913],[1292.9116605],[1292.9116605],[962.23974023],[962.23974023]
873,[3625.42902909],[3532.3409574],[3646.1665029],[3514.94035441],[3666.51330261],[3446.23231897],[3686.46751062],[2294.33605407],[125.72676978],[128.8642412],[962.23974023],[965.98035006],[1154.76400552],[1162.79967858],[1407.95635913],[1292.9116605],[1292.9116605],[962.23974023],[962.23974023]
